fn,ln,misc1,misc2,misc3,misc4,misc5,misc6
Steinschneider, Daniel, auch D. Prosnitzer oder D. Prosstitz, geb. 1758 in Tovačov (Tobitschau), Mähren, gest. 4. März 1846 in Preßburg. [BHR1],,
Steppacher, Baruch Löb, geb. ca. 1755 in Kleinerdlingen bei Nördlingen im Fsm. Öttingen, gest. 8. Feb. 1838 das. [BHR1],,,,
Stern, Abraham, geb. 1751, gest. 1. Okt. 1797 in Holešov (Holleschau), Mähren. [BHR1],,,
Stern, Abraham, geb. ca. 1762, gest. 22. März 1831 in Gaukönigshofen, Unterfranken. [BHR1],,,
Stern, Anschel, geb. 1820 in Steinbach, Kurhessen, gest. 11. März 1888 in Hamburg. [BHR1],,,
Stern, Ignaz. [BHR1],,,,,,
Stern, Joachim, geb. 1809, gest. 1895 in Strzelno (Strelno), Prov. Posen. [BHR1],,,
Stern, Moritz, Dr., geb. 11. Dez. 1822 in Kargowa (Unruhstadt), Prov. Posen. [BHR1],,,
Stern, Moses. [BHR1],,,,,,
Stern, Wilhelm, Dr., englisch William S., geb. 1826 in Tachov (Tachau), Westböhmen, gest. 21. Dez. 1897 in Kopenhagen. [BHR1],
Sternberg, Jakob. [BHR1],,,,,,
Sternberg, Wolf, gest. 10. Juli 1860 in Jutrosin (Jutroschin), Prov. Posen. [BHR1],,,,
Stössel, Michael H., gest. 5. Okt. 1879 in Rousínov (Neuraußnitz), Mähren. [BHR1],,,,
Stössel, Moritz, gest. 29. Aug. 1867 in Brünn. [BHR1],,,,,
Stössel, Aron Moses, geb. 1796/97 in Rousínov (Neuraußnitz), Mähren, gest. 1. Juni 1861 in Ostrów Wielkopolski (Ostrowo), Prov. Posen. [BHR1],,
Stössels, Ascher. [BHR1],,,,,,
Strasser, Eleasar, geb. März 1790 in Rajka (Ragendorf) bei Preßburg, gest. 18. Dez. 1848 in Nové Mesto nad Váhom (Waag-Neustadtl), Slowakei. [BHR1],,,
Straus, Samuel, geb. 1758, gest. 13. Mai 1820 in Bad Kreuznach. [BHR1],,,,
Strauss, Isaac, geb. 9. Okt. 1837 in Amöneburg, Kurhessen, gest. 1915 in Frankfurt/M. [BHR1],,,
Streusand, Nochem, auch N. Streisand, geb. in Grodzisk (Grätz), Prov. Posen, gest. nach 1872 in den USA. [BHR1],,
Struck, Salomon Michael, geb. 1796, gest. 16. Tebeth 1871 (9. Januar 1871?) in Wieleń (Filehne), Prov. Posen. [BHR1],,,
Sulzberger, Abraham Hirsch, geb. 1802, gest. 18. Nov. 1828 in Fürth. [BHR1],,,,
Süskind, Samuel, Dr., geb. 1811 in Kirchheimbolanden in der späteren bay. Pfalz, gest. 29. Jan. 1894 in Frankfurt/M. [BHR1],,,
Süsskind, Lemle, gest. 1789 in Mannheim. [BHR1],,,,,
Süsskind, Moses, gest. August 1793 in Mannheim. [BHR1],,,,,
Sutro, Abraham, geb. 14. Aug. 1784 in Bruck bei Erlangen, gest. 10. Okt. 1869 in Münster. [BHR1],,,,
Sutto, J. [BHR1],,,,,,
Synek. [BHR1],,,,,,,
Tauber, Aron, geb. in Lipník (Leipnik), Mähren, gest. 5. Nov. 1856 in Dunajská Streda (Dunaszerdahely), Slowakei. [BHR1],,
Tauber, Jakob, Dr., geb. 1842 in Lipník (Leipnik), Mähren, gest. 1916 in Přerov (Prerau), Mähren. [BHR1],
Tauber, Löb, geb. ca. 1752 in Radenín im Taborer Kreis in Böhmen, gest. 17. Nov. 1829 in Galanta, Slowakei. [BHR1],,,
Tauber, Moritz. [BHR1],,,,,,
Tauber, Moses. [BHR1],,,,,,
Taussig, Chaim. [BHR1],,,,,,
Teltscher, Hirsch (hebr. Zwi-H.). [BHR1],,,,,,
Tendlau, Abraham, gest. 1790 in Wiesbaden. [BHR1],,,,,
Tendlau, Heyum, gest. 1829 in Wiesbaden. [BHR1],,,,,
Teomim, Jakob, bürgerlich Jak. Zwillinger, gest. 5. Jan. 1850 in Czempiń, Prov. Posen. [BHR1],,,
Teomim, Isaak-Joseph, gen. Perī Megādīm, geb. 1727 in Lemberg, gest. 22. Okt. 1792 in Frankfurt/Oder. [BHR1],,,
Teomim, Josua Feibel. [BHR1],,,,,,
Teomim, Löb (hebr. Arje-Juda-L.), gen. L. Lisser, bürgerlich Löbl Zwillinger, geb. vermutlich in Leszno (Lissa), gest. 16. März 1794 in Holešov (Holleschau), Mähren. [BHR1],
Teomim, Samuel. [BHR1],,,,,,
Teomim-Schnapper, Sußmann, gest. 22. Okt. 1794 in Bingen. [BHR1],,,,,
Teomim-Fränkel, Baruch, gen. Bārūch a‘am, geb. 1760 in Ostrowiec in der poln. Prov. Kielce, gest. 19. Juni 1828 in Lipník (Leipnik), Mähren. [BHR1],,
Teweles, Ephraim Löw Katz, geb. 1773, gest. 15. Dez. 1849 in Prag. [BHR1],,,,
Teweles, Juda, geb. 17. Nov. 1807 in Prag, gest. 20. März 1869 das. [BHR1],,,,
Thalheimer, Faust Löw, geb. 1806 in Bad Königshofen, Unterfranken, gest. 7. Sept. 1867 in Mainbernheim. [BHR1],,,
Thalmann, Gumbel, geb. in Neubronn bei Würzburg, gest. 19. Dez. 1880 in Karlsruhe. [BHR1],,,,
Theumann, Aron Hakohen, gest. 19. Aug. 1885 in Tovačov (Tobitschau), Mähren. [BHR1],,,,
Thockus, M. [BHR1],,,,,,
Thorner, Moses Elieser, auch Samuel Liebmann Th., gest. 1837 in Danzig. [BHR1],,,,
Thorsch, Leopold, gest. 1911 in Slaný (Schlan), Zentralböhmen. [BHR1],,,,
Tichý, Abraham. [BHR1],,,,,,
Tietz, Hermann, Dr., geb. 3. Sept. 1834 in Międzychód (Birnbaum), Prov. Posen, gest. 6. Dez. 1908 in Leszno (Lissa). [BHR1],,
Tiktin, Abraham, gen. Päta ha-Bayith, geb. 24. Dez. 1764 in Swarzędz (Schwersenz), Großpolen, gest. 27. Dez. 1820 in Breslau. [BHR1],,
Tiktin, Abraham, niederländ. Abr. Izak van Deen, gest. 11. Jan. 1821 in Groningen, Niederlande. [BHR1],,,
Tiktin, Gedalja, geb. 1808 in Częstochowa (Tschenstochau), gest. 8. Aug. 1886 in Breslau. [BHR1],,,,
Tiktin, Salman, geb. Febr. 1791 in Swarzędz (Schwersenz), Großpolen, gest. 20. März 1843 in Breslau. [BHR1],,,
Tintner, Birch Abraham, geb. in Slavkov (Austerlitz), Mähren, gest. 1874 in Skalica (Skalitz), Slowakei. [BHR1],,
Tintner, Moritz, Dr., geb. 25. Dez. 1830 in Slavkov (Austerlitz), Mähren, gest. nach 1876 vermutlich in den USA.- Sohn des Kaufmanns Leopold T. und der früh verstorbenen Rebekka Braun  [BHR1], Privatunterricht durch den Lehrer Stern von der örtlichen Hauptschule; Sept. 1847 sechs Gymnasialklassen in Preßburg, 1852 Eintritt in die Sekunda am Gymn. in Košice (Kaschau)
Toff, Jakob. [BHR1],,,,,,
Toff, Hirsch, auch Jonas T. oder Hirsch Reinitz, geb. vermutlich in Hranice (Mährisch-Weißkirchen), gest. 1839 in Bzenec (Bisenz), Mähren. [BHR1],,
Toff, Pessach, geb. 1. Nov. 1803 in Holešov (Holleschau), Mähren, gest. 23. April 1865 in Bzenec (Bisenz). [BHR1],,,
Torni, Meier. [BHR1],,,,,,
Traub, Hirsch, geb. 1791 in Mannheim, gest. 28. Januar 1849 das. [BHR1],,,,
Traub, Joachim, geb. ca. 1713, gest. 4. Aug. 1793 in Heřmanův Městec (Hermanmestetz), Ostböhmen. [BHR1],,,
Traub, Löw, geb. in Burgpreppach, Unterfranken, gest. 1878 in Burgkunstadt, Oberfranken. [BHR1],,
Traub, Meyer Alexander, gest. 31. Jan. 1815 in Mannheim. [BHR1],,,,,
Traub, Jakob Seligmann, geb. 1744, gest. 16. April 1819 in Sommerhausen, Unterfranken. [BHR1],,,
Traube, Leiser, geb. ca. 1775, gest. 14. August 1824 in Śrem (Schrimm), Prov. Posen. [BHR1],,,
Traube, Levin, gest. Anfang 1824 in Peine, Kgr. Hannover. [BHR1],,,,
Trebitsch, Nehemias, geb. 14. Aug. 1779 in Prag, gest. 4. Juli 1842 ebd. [BHR1],,,,
Treuenfels, Abraham, Dr., geb. 16. Dez. 1818 in Detmold, gest. 30. Jan. 1879 in Stettin. [BHR1],,,
Trier, Abraham, gest. 6. April 1794 in Frankfurt/M. [BHR1],,,,,
Trier, Salman, geb. 1758 in Frankfurt/M., gest. 8. Okt. 1846 das. [BHR1],,,,
Trischet, Abraham, geb. 1753 vermutlich in Třešť (Triesch), Mähren, gest. 24. Nov. 1827 in Hranice (Mährisch-Weißkirchen). [BHR1],,,
Trischet, Markus, gest. 6. Aug. [1866?] in Dolní Kounice (Kanitz), Mähren. [BHR1],,,,
Troller, Isak. [BHR1],,,,,,
Türkel, Salomo Hirsch. [BHR1],,,,,,
Ullmann, Abraham, geb. 1791 in Ansbach, gest. 12. Aug. 1849 in Lackenbach, Burgenland. [BHR1],,,
Ullmann, Benjamin-Wolf, gest. 11. März 1811 in Fürth. [BHR1],,,,,
Ullmann, Lion, Dr., geb. 1804 in St. Goar am Rhein, gest. 4. Sept. 1843 in Krefeld. [BHR1],,,
Ullmann, Löb (hebr. Juda-L.), geb. 1716 in Ichenhausen, gest. 1796 in Hohenems, Vorarlberg. [BHR1],,,
Ullmann, Salomon-Schalom, geb. 27. Feb. 1755 in Fürth, gest. 6. März 1825 in Lackenbach, Burgenland. [BHR1],,,
Ullmann, Samuel, geb. 1740, gest. 6. Okt. 1824 [wohl eher 1814] in Hohenems, Vorarlberg. [BHR1],,,
Ungar, Moses, geb. in Boskovice (Boskowitz), Mähren, gest. 1814 das. [BHR1],,,
Ungar, Moses," geb. 1814 in ""Niss-Paluga""", Ungarn. [BHR1],,,,
Unger, Joachim Jakob, Dr., geb. 16. Nov. 1826 in Humenné (Homenau), Slowakei, gest. 16. Okt. 1912 in Jihlava (Iglau), Mähren. [BHR1],
Ungerleider, Rudolf, Dr., geb. 16. Sept. 1833 in Nitra (Neutra), Slowakei, gest. 1911 in Berlin. [BHR1],,
Utitz, Abraham. [BHR1],,,,,,
Utitz, Jakob. [BHR1],,,,,,
Veilchenfeld, Moses, geb. 1794 in Leszno (Lissa), gest. 17. März 1872 in Rogoźno (Rogasen), Prov. Posen. [BHR1],,,
Veitel, Uri Löw, geb. 1784 in Dittenheim, Mittelfranken, gest. 8. Nov. 1851 das. [BHR1],,,
Victor, Hermann, geb. 1816 in Ichenhausen, Bay.-Schwaben. [BHR1],,,,
Vogel, Moses. [BHR1],,,,,,
Vogelsdorf, Samuel Lasi. [BHR1],,,,,,
Vogelstein, Heinemann, Dr., geb. 13. Feb. 1841 in Lage, Lippe, gest. 4. Aug. 1911 in St. Moritz, Schweiz. [BHR1],
Wagner, Hayum Süßel, geb. 1806 in Jöhlingen, Baden, gest. 11. Nov. 1892 in Mannheim. [BHR1],,,
Wahlhausen, Wolf, gest. 20. Nov. 1811 in Altona. [BHR1],,,,,
Wälder, Abraham, später Alfred W., geb. 20. Juli 1809 in Rexingen, Württ., gest. 5. April 1876 in Laupheim. [BHR1],,
Wäldler, Salomon Lipmann, geb. 24. März 1831 in Svätý Jur (St. Georgen), Slowakei, gest. 10. [Heppner: 19.] Mai 1904 in Trzcianka (Schönlanke), Prov. Posen. [BHR1],,
Waldstein, Moses, geb. 1792, gest. Dez. 1873 in Gniezno (Gnesen), Prov. Posen. [BHR1],,,
Wallau, Leser, geb. März 1742 in Frankfurt/M., gest. 3. Apr. 1821 das. [BHR1],,,,
Wallerstein, Abraham, gest. 1. Juni 1792 in Schnaittach. [BHR1],,,,,
Wallerstein, Josua, Dr., geb. 10. Sept. 1836 in Siegburg, gest. 19. Juni 1876 in Danzig. [BHR1],,,
Wanefried, Menachem, gen. M. Katz Prossnitz, geb. ca. 1795 in Prostějov (Proßnitz), Mähren, gest. 24. Feb. 1891 in Deutschkreuz, Burgenland. [BHR1],
Wanefried, Moses, geb. in Uherský Brod (Ungarisch-Brod), Mähren, gest. Anfang 1850 in Prostějov (Proßnitz). [BHR1],,,
Warburg, Samuel, bürgerlich Samuel Levin, geb. in Warburg, Stift Paderborn, gest. 18. Febr. 1817 in Gelnhausen, Kurhessen. [BHR1],
Warisch, Jakob, geb. in Hamburg, gest. 30. April 1808 in Altona.- Sohn des Zwi-Hirsch W. in Hamburg [BHR1], Schüler des Raphael Cohen in Altona, verheiratet mit Gella Hahn, Tochter des Dajan Joseph H. 1776 Stiftsrb. in der Hamburger Klaus des Jechiel Walich, 1789 Dajan und Klausner in Altona. Sein Sohn Paltiel W. (gest. 1830) nach nach ihm eine Stelle in der Jechiel-Walich-Klaus ein. PUBL. Vorrede zum Divrē Dāwid
Warter, Isaak, geb. in Polen, gest. 29. März 1798 in Hamburg. [BHR1],,,,
Wassermann, Moses [von], Dr., geb. 15. Juli 1811 in Gunzenhausen, Mittelfranken, gest. 18. Oktober 1892 in Stuttgart. [BHR1],,
Wassermann, Salomon, geb. 1. Juni 1780 in Oberdorf b. Bopfingen, Fsm. Wallerstein, gest. 1. März 1859 in Laupheim, Württ. [BHR1],,
Wassertrilling, Herrmann, Dr. (hebr. Zwi-Hirsch), geb. in Boskovice (Boskowitz), Mähren, gest. 27. Juli 1887 das. [BHR1],,
Wassertrilling, Jakob. [BHR1],,,,,,
Wechsler, Abraham Josef, geb. 1796 in Schwabach, gest. 31. August 1850 das. [BHR1],,,,
Wechsler, Bernhard, geb. 1807 in Schwabach, Mittelfranken, gest. 18. Nov. 1874 in Oldenburg. [BHR1],,,
Wechsler, Hyle, hebr. Elchanan-Henlein Pinchas Moses Haim, geb. 1843 in Schwabach, gest. 1. Juli 1894 in Höchberg bei Würzburg. [BHR1],,,
Weil, Abraham, geb. 20. Dez. 1754 in Prag, gest. 23. Sept. 1831 in Sulzburg, Baden. [BHR1],,,
Weil, Hirsch, geb. 27. Feb. 1764, gest. 27. Apr. 1839 in Schopfloch bei Dinkelsbühl. [BHR1],,,,
Weil, Seligmann Jakob, geb. 1757 in Ühlfeld, Mittelfranken, gest. 1832 in Regensburg. [BHR1],,,
Weil, Lazar. [BHR1],,,,,,
Weil, Nathan, geb. 2. Nov. 1756 in Votice (Wotitz), Böhmen, gest. 31. Okt. 1829 in Karlsruhe. [BHR1],,,
Weil, Nathanael, geb. 5. Juli 1818 in Sulzburg, Baden, gest. 1. Mai 1892 in Karlsruhe. [BHR1],,,
Weil, Ruben, geb. 1763 vermutlich in Baiersdorf b. Erlangen, gest. 1850 in Sulzbürg, Oberpfalz. [BHR1],,,
Weil, Siegmund, geb. 1814 in Eichstetten am Kaiserstuhl, gest. 1886 vermutlich in Mosbach, Baden. [BHR1],,,
Weil, Tia, hebr. Jedidja b. Nathanael, geb. 2. Okt. 1721 in Prag, gest. 10. Okt. 1805 in Karlsruhe. [BHR1],,,
Weiler, Abraham, gest. 1832 in Walldorf a. d. Werra, Sachsen- Meiningen. [BHR1],,,,
Weimann, Elkan, Dr., geb. 10. Juni 1818 in Treuchtlingen, Mittelfranken, gest. 25. Sept. 1886 in Bad Buchau, Württ. [BHR1],
Weinberger, Abraham Isak, gest. 1868. [BHR1],,,,,
Weinberger, Josua Ahron Hirsch (hebr. J. A. Zwi-H.), geb. 1815, gest. 29. Dez. 1891. [BHR1],,,,
Weiner, Löwy. [BHR1],,,,,,
Weis, Isaac Mayer, engl. I. M. Wise, geb. 29. März 1819 in Lomnička (Steingrub), Westböhmen, gest. 26. März 1900 in Cincinnati, USA. [BHR1],
Weiskopf, David, geb. 5. Mai 1798 in Gunzenhausen, Mittelfranken, gest. 9. März 1882 in Kleinerdlingen bei Nördlingen. [BHR1],,,
Weiskopf, Moses, geb. 1836 in Fürth, gest. 1936 in Paris. [BHR1],,,,
Weiss, Benjamin, geb. 1845 in Tiszaszöllös, Ungarn, gest. 1917 in Wiener Neustadt, Niederösterreich. [BHR1],,
Weiss, Eisik Hirsch, bürgerlich Ignaz W., geb. 13. Feb. 1815 in Velké Meziříčí (Groß-Meseritsch), Mähren, gest. 30. Mai 1905 in Wien. [BHR1],,
Weiss, Isak. [BHR1],,,,,,
Weiss, Israel, geb. 5. Sept. 1819 in Dobruška (Dobruschka), Ostböhmen, gest. 21. März 1907 in Chomutov (Komotau), Nordböhmen. [BHR1],,
Weiss, Josua, gest. 1911 in Pohořelice (Pohrlitz), Mähren. [BHR1],,,,
Weissblum, Mathias, gest. 1873 in Odolanów (Adelnau), Prov. Posen. [BHR1],,,,
Weisse, Josef, geb. 23. Nov. 1812 in Plumlov (Plumenau) bei Prostějov (Proßnitz) in Mähren, gest. 2. Dez. 1897 in Nové Mesto nad Váhom (Waag-Neustadtl), Slowakei. [BHR1],,,
Weissler, Nathan. [BHR1],,,,,,
Weltmann, Chajim Lewin, gest. 1849 in Witkowo, Prov. Posen. [BHR1],,,,
Werner, Hartwig, Dr., geb. 31. Oktober 1819 in Niederwerrn, Unterfranken, gest. 7. Juli 1905 in Bamberg. [BHR1],,
Werner, Isak, geb. in Niederwerrn, Unterfranken, gest. 1836 in Würzburg. [BHR1],,,
Wertheimer, Akiba-Israel, bürgerlich Jakob Viktor, geb. 1778 in Breslau, gest. 20. Mai 1835 in Altona. [BHR1],,,
Wertheimer, Wolf. [BHR1],,,,,,
Westheimer, Israel. [BHR1],,,,,,
Wetzlar, Marcus Gerson, geb. 1801 in Fulda, gest. 28. Dez. 1878 in Frankfurt/M. [BHR1],,,,
Weyl, Chaim, geb. ca. 1779, gest. 29. Aug. 1847 in Rogoźno (Rogasen), Prov. Posen. [BHR1],,,
Weyl, Meyer, geb. 1744 in Leszno (Lissa), Großpolen, gest. 14. Feb. 1826 in Berlin. [BHR1],,,
Wiener, Adolph Meyer, Dr., hebr. Aron W., geb. 2. Feb. 1812 in Murowana Goślina (Murowana-Goslin) in der späteren Prov. Posen, gest. 25. Aug. 1895 in Opole (Oppeln), Oberschlesien. [BHR1],
Wiener, Juda Gabriel, geb. 1787, gest. 14. Aug. 1842 in Prag. [BHR1],,,,
Wiener, Moses Menachem. [BHR1],,,,,,
Wiener, Josef-Simon, gest. 6. Okt. 1815 in Adelsdorf, Oberfranken. [BHR1],,,,
Wiesner, Jonas Julius, Dr., geb. 1814 in Náchod, Ostböhmen, gest. 14. Mai 1889 das. [BHR1],,
Wigdor, Samuel," gest. ""21. Tebeth 1791"" in Königsberg", Ostpreußen. [BHR1],,,,
Willner, Samuel Haim. [BHR1],,,,,,
Willstätter, Benjamin, geb. 17. Dez. 1813 in Karlsruhe, gest. 18. Juli 1895 das. [BHR1],,,,
Willstätter, Elias, geb. 2. Mai 1796 in Karlsruhe, gest. 14. Nov. 1842 das. [BHR1],,,,
Willstätter, Ephraim, geb. 20. Nov. 1810 in Karlsruhe, gest. 19. Mai 1862 in Gailingen. [BHR1],,,,
Wilner, Ascher, gest. 2. April 1856 in Pleszew (Pleschen), Prov. Posen. [BHR1],,,,
Wilner, Isaac Salomon, geb. in Polen, gest. 18. April 1806 in Hannover. [BHR1],,,,
Winter, Salomon, gest. 18. Juni 1853 in Libeň (Lieben) bei Prag. [BHR1],,,,,
Winternitz, Abraham. [BHR1],,,,,,
Wissmann, Löb (hebr. Juda-L.), gest. 8. Nov. 1903 in Schwabach. [BHR1],,,,,
Witkowski, Israel, gest. 26. Mai 1884 in Września (Wreschen), Prov. Posen. [BHR1],,,,
Wittelshöfer, Israel, geb. 4. Feb. 1813 in Floß, Oberpfalz, gest. 10. Juni 1896 in Fürth. [BHR1],,,
Wittelshöfer, Moses, geb. Nov. 1770 in Baiersdorf bei Erlangen, gest. 16. Juli 1840 in Floß, Oberpfalz. [BHR1],,,
Wittersheim, Samuel-Nathanael, geb. 1766 in Metz, gest. 30. Nov. 1831 das. [BHR1],,,,
Wohl, Löb (hebr. Juda-Arjeh-L.), gest. 1828 in Chodová Planá (Kuttenplan), Böhmen. [BHR1],,,,
Wohl, Samson, geb. in Ivančice (Eibenschütz), Mähren, gest. 20. Apr. 1825 in Police (Pullitz). [BHR1],,,
Wohlgemuth, Jesaja, geb. 10. Juni 1820 in Kutuzovo (Neustadt- Schirwindt), Russ.-Polen nahe der ostpreußischen Grenze, gest. 31. Dez. 1898 in Hamburg. [BHR1],,,
Wohlmuth, Josua. [BHR1],,,,,,
Wolf(hebr. Zeev-W.), gest. 5. Okt. 1806 in Ostrów Wielkopolski (Ostrowo), Prov. Südpreußen. [BHR1],,,,,
Wolf b. Salomon-Salman (hebr. Zeev-W.), gest. vor 1809. [BHR1],,,,,,
Wolf b. Zwi(hebr. Zeev-W.), gest. 31. Jan. 1802 in Trzciel (Tirschtiegel), Prov. Posen. [BHR1],,,,,
Wolf, Alexander-Sender, geb. 1762, gest. 25. Okt. 1843 in Darmstadt. [BHR1],,,,
Wolf, Aron. [BHR1],,,,,,
Wolf, Avigdor. [BHR1],,,,,,
Wolf, Israel, gest. 4. Aug. 1830 in Uherský Brod (Ungarisch-Brod), Mähren. [BHR1],,,,
Wolf, Löbusch, hebr. Arje b. Seeb, geb. 1781, gest. 13. Jan. 1856 in Międzyrzecz (Meseritz), Prov. Posen. [BHR1],,
Wolf, Maier. [BHR1],,,,,,
Wolf, Marum b. Meir, gen. Ellinger, geb. 1758 in Ellingen, Mittelfranken, gest. 6. Juni 1829 in Niederstetten, Württ. [BHR1],
Wolff, Abraham, Dr., geb. 29. April 1801 in Darmstadt, gest. 3. Dez. 1891 in Kopenhagen. [BHR1],,,
Wolff, David, geb. 1760 im späteren Bayern. [BHR1],,,,,
Wolff, Moritz, Dr., geb. 1824 in Międzyrzecz (Meseritz), Prov. Posen, gest. 19. März 1904 in Göteborg, Schweden. [BHR1],
Wolff, Samuel A., geb. ca. 1760, gest. 1843 in Mirosławiec (Märkisch-Friedland), Prov. Westpreußen. [BHR1],,,
Wolffgang, Abraham. [BHR1],,,,,,
Wolffssohn, Aron, geb. 5. Sept. 1788 in Borek, Großpolen, gest. 15. Mai 1830 in Hildesheim. [BHR1],,,
Wolfsohn, Heymann, geb. 4. Apr. 1810 in Großpolen, gest. 20. Juli 1897 in Berlin. [BHR1],,,,
Wolfssohn, Wilhelm, Dr., auch Wolf W., geb. 25. April 1827 in Hildesheim, gest. 28. Dez. 1905 in Berlin. [BHR1],,
Worms, Aron, geb. 7. Juli 1754 in Geislautern bei Völklingen, gest. 2. Mai 1836 in Metz. [BHR1],,,,
Wormser, Joseph, gest. 1825 in Bad Homburg. [BHR1],,,,,
Wormser, Joseph Samuel, geb. 9. April 1807 in Urspringen, Unterfranken, gest. 5. Apr. 1892 in Gersfeld/Rhön. [BHR1],,,
Wormser, Löb, geb. 1801 in Fulda, gest. 28. Okt. 1850 das. [BHR1],,,,
Wormser, Moses, auch M. Wurmser, gest. 1826. [BHR1],,,,
Wormser, Salman, gest. 5. Dez. 1806 in Fulda. [BHR1],,,,,
Wormser, Salomon, Dr., geb. 30. Nov. 1814 in Limburg, Nassau, gest. 23. Juli 1887 in Frankfurt/M. [BHR1],,
Wormser, Samuel, geb. in Fulda, gest. 1858 in Hadamar, Nassau. [BHR1],,,
Wormser, Seckel, geb. Februar 1769, gest. 29. Juli 1839 in Fulda. [BHR1],,,,
Wormser, Seckel Löb," volkstümlich ""der Baalschem von Michelstadt""", geb. 1768 in Michelstadt im Odenwald, gest. 16. Sept. 1847 das. [BHR1],,,
Wreschner, Abraham,gest. 18. Cheschwan 1846 (nach Kinstlicher 5606, also vermutlich 18. Nov. 1845). [BHR1],,,,
Wreschner, Abraham-Abbusch, geb. um 1796 in der Nähe von Września (Wreschen), gest. 28. Kislew 1876 (nach Wreschner: 1875, also vielleicht 26. Dez. 1875) in Pobiedziska (Pudewitz), Prov. Posen. [BHR1],,
Wreschner, Emanuel, Dr., geb. 14. Dez. 1828 in Kcynia (Exin), Prov. Posen, gest. 3. März 1900 in Berlin. [BHR1],,
Wreschner, Israel, geb. in Września (Wreschen), gest. 30. Tewet 1820 [sic ] in Wieleń (Filehne), Prov. Posen. [BHR1],,,
Wreschner, Jakob, Dr., geb. 22. Nov. 1822 in Kcynia (Exin), Prov. Posen. [BHR1],,,
Wreschner, Moses Abraham, Dr., geb. 1821, gest. 29. Nov. 1903 in Leszno (Lissa), Prov. Posen. [BHR1],,
Wronik, Michael, geb. 1753 in Galizien, gest. 27. Dez. 1838 in Rousínov (Neuraußnitz), Mähren. [BHR1],,,
Wunder, Adam, Dr., geb. 20. Dez. 1817 in Česká Lípa (Böhmisch- Leipa), Nordböhmen, gest. 5. Mai 1905 in České Budějovice (Budweis), Südböhmen. [BHR1],
Wurm, Joachim, geb. ca. 1818 in Dobříš (Dobrisch), Zentralböhmen. [BHR1],,,,
Wurmfeld, David. [BHR1],,,,,,
Wyler, Leopold, gest. 16. Juli 1857 in Endingen im Aargau, Schweiz. [BHR1],,,,
Zellniker, Wolf. [BHR1],,,,,,
Zilz, Eleasar. [BHR1],,,,,,
Zilz, Meyer, gest. 30. März 1826 in Łask [BHR1], Russ.-Großpolen.- Schüler von David Fränkel in Berlin, mit 25 Jahren Leiter einer großen Jeschiwa in Leszno (Lissa), Prov. Südpreußen, ca. 1800 Rb. in Łask. LIT. Halperin, ’Alās ‘E ayyīm
Zilzer, Joachim Löb, geb. ca. 1800, gest. 23. März 1837 in Písečné (Piesling), Mähren. [BHR1],,,
Zilzer, Moses Löb, geb. in Biała (Zülz), Oberschlesien, gest. 6. Sept. 1831 in Mikulov (Nikolsburg), Mähren. [BHR1],,
Zilzer, Samuel, geb. 1802 in Mikulov (Nikolsburg), gest. 3. März 1859 das. [BHR1],,,,
Zirndorf, Heinrich, geb. 7. Mai 1829 in Fürth, gest. 17. Dez. 1893 in Cincinnati. [BHR1],,,,
Zirndorfer, Samuel. [BHR1],,,,,,
Zivi, Raphael, gest. 1837/38 in Haigerloch, Ftm. Hohenzollern- Sigmaringen. [BHR1],,,,
Zlotowe, Henoch, geb. 1769 in Złotów (Flatow), Großpolen, gest. 24. Mai 1851 in Nakło nad Notecią (Nakel), Prov. Posen. [BHR1],,
Zlotower, Moses. [BHR1],,,,,,
Zomber, Bernhard (hebr. Dov-Bär), geb. 1821 in Łask, Russ.- Großpolen, gest. 1884 in Berlin. [BHR1],,,
Zorn, Nathan, gest. 1854 in Jevíčko (Gewitsch), Mähren. [BHR1],,,,
Zuckermandel, Löbl. [BHR1],,,,,,
Zuckermandel, Moses Samuel, Dr., geb. 24. April 1836 in Uherský Brod (Ungarisch-Brod), Mähren, gest. 27. Jan. 1917 in Breslau. [BHR1],,
Zuckermann, Hirsch Jakob. [BHR1],,,,,,
Zuckermann, M. H. [BHR1],,,,,,
Zuckermann, Simon, geb. in Ostrów Wielkopolski (Ostrowo), gest. 23. Nov. 1855 in Obrzycko (Obersitzko), Prov. Posen. [BHR1],,,
Aber, Felix, Dr., geb. 11. April 1895 in Breslau, gest. 14. Jan. 1964 in New York [BHR2],,,
Ackermann, Aron, Dr., Pseudonym: Arnold Mann, geb. 31. Okt. 1867 in Hochhausen a. d. Tauber (nach anderer Quelle: Flehingen), Baden, gest. 18. Juli 1912 in Berlin-Lichterfelde [BHR2],
Adler, Abraham, 1808-1880 [BHR2],,,,,
Adler, Immanuel, 1840-1911 [BHR2],,,,,
Adler, Joseph Gabriel, um 1804-1873 [BHR2],,,,,
Adler, Lazarus Levi, Dr., 1810-1886 [BHR2],,,,
Adler, Oskar [BHR2],,,,,,
Alexander, Siegfried, Dr., geb. 12. Okt. 1886 in Lobsens (Łobżenica), Posen, verschollen 1944 in Auschwitz [BHR2],,
Alexander, Simon, gest. nach 1871 [BHR2],,,,,
Altmann, Adolf, Dr., geb. 8. Sept. 1879 in Hunsdorf (Huncovce), Slowakei, verschollen Juni 1944 in Auschwitz [BHR2],,
